cast_id,title_id,actor_name,role_type
1,t0001,Ken Watanabe,Supporting
2,t0001,Tom Hanks,Lead
3,t0002,Adam Driver,Lead
4,t0002,Mahershala Ali,Supporting
5,t0002,Florence Pugh,Supporting
6,t0002,Javier Bardem,Supporting
7,t0002,Marion Cotillard,Lead
8,t0003,Ken Watanabe,Supporting
9,t0003,Penélope Cruz,Lead
10,t0003,Nawazuddin Siddiqui,Supporting
11,t0003,Adam Driver,Supporting
12,t0003,Mahershala Ali,Supporting
13,t0004,Regé-Jean Page,Supporting
14,t0004,Zendaya,Supporting
15,t0005,Timothée Chalamet,Supporting
16,t0005,Jason Momoa,Lead
17,t0005,Gong Yoo,Supporting
18,t0005,Adam Driver,Lead
19,t0005,Song Kang-ho,Supporting
20,t0005,Florence Pugh,Lead
21,t0006,Florence Pugh,Supporting
22,t0006,Timothée Chalamet,Supporting
23,t0006,Ken Watanabe,Supporting
24,t0006,Javier Bardem,Supporting
25,t0007,Rami Malek,Lead
26,t0007,Oscar Isaac,Supporting
27,t0007,Cate Blanchett,Supporting
28,t0007,Idris Elba,Supporting
29,t0008,Awkwafina,Lead
30,t0008,Millie Bobby Brown,Supporting
31,t0008,Ryan Gosling,Supporting
32,t0008,Lee Jung-jae,Lead
33,t0008,Song Kang-ho,Supporting
34,t0008,Javier Bardem,Supporting
35,t0009,Tessa Thompson,Lead
36,t0009,Penélope Cruz,Lead
37,t0009,Millie Bobby Brown,Lead
38,t0009,Shah Rukh Khan,Supporting
39,t0009,Zendaya,Supporting
40,t0010,John Boyega,Supporting
41,t0010,Denzel Washington,Supporting
42,t0011,Adam Driver,Supporting
43,t0011,Cate Blanchett,Supporting
44,t0011,Florence Pugh,Supporting
45,t0012,Marion Cotillard,Lead
46,t0012,Penélope Cruz,Supporting
47,t0013,Nawazuddin Siddiqui,Supporting
48,t0013,Jason Momoa,Supporting
49,t0013,Gal Gadot,Supporting
50,t0013,Anya Taylor-Joy,Supporting
51,t0013,Bae Doona,Supporting
52,t0014,Viola Davis,Lead
53,t0014,Zendaya,Supporting
54,t0014,Marion Cotillard,Supporting
55,t0014,Meryl Streep,Supporting
56,t0014,Florence Pugh,Lead
57,t0014,Song Kang-ho,Supporting
58,t0015,Awkwafina,Lead
59,t0015,Tessa Thompson,Supporting
60,t0015,Anya Taylor-Joy,Supporting
61,t0016,Javier Bardem,Supporting
62,t0016,Tom Hanks,Supporting
63,t0016,Song Kang-ho,Supporting
64,t0016,Nawazuddin Siddiqui,Supporting
65,t0016,Jason Momoa,Supporting
66,t0017,Saoirse Ronan,Lead
67,t0017,John Boyega,Supporting
68,t0017,Jason Momoa,Lead
69,t0017,Timothée Chalamet,Lead
70,t0017,Gong Yoo,Lead
71,t0017,Lupita Nyong'o,Lead
72,t0018,Bae Doona,Lead
73,t0018,Priyanka Chopra,Supporting
74,t0019,Adam Driver,Supporting
75,t0019,Penélope Cruz,Supporting
76,t0019,Oscar Isaac,Supporting
77,t0019,Regé-Jean Page,Lead
78,t0020,Shah Rukh Khan,Supporting
79,t0020,Ken Watanabe,Supporting
80,t0020,Gal Gadot,Supporting
81,t0020,Awkwafina,Supporting
82,t0021,Gal Gadot,Lead
83,t0021,Deepika Padukone,Supporting
84,t0021,Javier Bardem,Supporting
85,t0021,Millie Bobby Brown,Supporting
86,t0021,John Boyega,Supporting
87,t0022,Nawazuddin Siddiqui,Supporting
88,t0022,Oscar Isaac,Supporting
89,t0022,Lee Jung-jae,Supporting
90,t0023,Jason Momoa,Supporting
91,t0023,Meryl Streep,Supporting
92,t0023,Denzel Washington,Supporting
93,t0023,Gong Yoo,Supporting
94,t0023,Rami Malek,Supporting
95,t0024,Rami Malek,Supporting
96,t0024,Bae Doona,Supporting
97,t0024,Regé-Jean Page,Supporting
98,t0025,Adam Driver,Supporting
99,t0025,Millie Bobby Brown,Supporting
100,t0025,Rami Malek,Supporting
101,t0025,Jason Momoa,Lead
102,t0025,Aishwarya Rai,Supporting
103,t0025,Viola Davis,Supporting
104,t0026,Oscar Isaac,Lead
105,t0026,Anya Taylor-Joy,Supporting
106,t0027,Denzel Washington,Lead
107,t0027,Bae Doona,Supporting
108,t0028,Rami Malek,Lead
109,t0028,Lee Jung-jae,Supporting
110,t0029,Lee Jung-jae,Supporting
111,t0029,Oscar Isaac,Supporting
112,t0029,Ken Watanabe,Supporting
113,t0030,Rami Malek,Supporting
114,t0030,Awkwafina,Supporting
115,t0030,Deepika Padukone,Lead
116,t0030,Ken Watanabe,Supporting
117,t0031,Saoirse Ronan,Supporting
118,t0031,Marion Cotillard,Supporting
119,t0031,Ken Watanabe,Lead
120,t0031,Anya Taylor-Joy,Supporting
121,t0031,Jason Momoa,Lead
122,t0032,Oscar Isaac,Supporting
123,t0032,Ken Watanabe,Supporting
124,t0032,Shah Rukh Khan,Supporting
125,t0032,Penélope Cruz,Supporting
126,t0033,Zendaya,Lead
127,t0033,Regé-Jean Page,Supporting
128,t0033,Florence Pugh,Supporting
129,t0033,Nawazuddin Siddiqui,Lead
130,t0034,John Boyega,Supporting
131,t0034,Lupita Nyong'o,Lead
132,t0034,Awkwafina,Supporting
133,t0034,Bae Doona,Supporting
134,t0034,Anya Taylor-Joy,Supporting
135,t0035,Cate Blanchett,Supporting
136,t0035,Priyanka Chopra,Lead
137,t0035,Emma Stone,Lead
138,t0035,Oscar Isaac,Supporting
139,t0035,John Boyega,Supporting
140,t0036,Idris Elba,Supporting
141,t0036,Meryl Streep,Supporting
142,t0036,Rami Malek,Supporting
143,t0036,Timothée Chalamet,Supporting
144,t0036,Adam Driver,Supporting
145,t0036,Lee Jung-jae,Supporting
146,t0037,Ken Watanabe,Supporting
147,t0037,Viola Davis,Lead
148,t0038,Ken Watanabe,Supporting
