title_id,type,title,director,country,date_added,release_year,content_rating,duration
t0001,Movie,Above War,Guillermo del Toro,Nigeria,2021-04-11,2018,PG,179 min
t0002,Movie,Modern Dream,David Fincher,Canada,2016-01-07,2021,TV-MA,138 min
t0003,Movie,The Life Season,Céline Sciamma,Nigeria,2017-09-17,2010,,146 min
t0004,Movie,Under Days,Wes Anderson,Nigeria,2022-05-06,1997,PG-13,105 min
t0005,Movie,Lost Kingdom,,India,2018-04-06,2023,TV-14,119 min
t0006,Movie,Last Legends,Martin Scorsese,Japan,2017-03-24,2019,,169 min
t0007,Movie,Eternal Water Season,Greta Gerwig,Brazil,2020-06-17,2014,TV-Y7,92 min
t0008,TV Show,The Water Chronicles,Chloe Zhao,Japan,2021-08-24,2003,TV-MA,5 Seasons
t0009,TV Show,Beyond Hearts,,Spain,,2012,TV-PG,5 Seasons
t0010,TV Show,Beyond Fire,,Spain,2020-06-04,2003,G,3 Seasons
t0011,Movie,Rising Moons,Anurag Kashyap,Nigeria,2019-05-10,2008,TV-Y7,182 min
t0012,Movie,Wild Night Chronicles,Bong Joon-ho,Egypt,2021-09-09,2021,TV-Y7,132 min
t0013,Movie,The Heart: Origins,Ava DuVernay,,2017-04-15,2012,TV-PG,165 min
t0014,Movie,Above Legend,Kathryn Bigelow,South Korea,2016-07-20,2022,R,184 min
t0015,TV Show,Ancient Suns,Pedro Almodóvar,United Kingdom,2015-05-18,2017,TV-PG,1 Seasons
t0016,TV Show,Lost House Season,Sofia Coppola,United States,2018-10-31,2018,PG-13,6 Seasons
t0017,Movie,Lost Hearts,Hayao Miyazaki,Australia,2015-02-20,2020,PG,147 min
t0018,Movie,Falling Life,,Egypt,,2023,NR,80 min
t0019,TV Show,The Mystery: Origins,,Nigeria,2020-06-14,2022,PG,5 Seasons
t0020,Movie,Beyond House: Origins,,France,2017-09-16,2013,R,111 min
t0021,Movie,Sacred Detective,Hayao Miyazaki,Japan,2016-07-05,2010,PG-13,133 min
t0022,Movie,Secret City,Bong Joon-ho,Germany,2020-10-30,1994,NR,133 min
t0023,Movie,Forgotten Kingdom,,United States,2022-04-13,2009,TV-MA,171 min
t0024,TV Show,Dark Sun,Jane Campion,France,2016-04-17,2015,TV-MA,8 Seasons
t0025,TV Show,Broken Journey: Origins,Zhang Yimou,Nigeria,2020-12-30,2023,TV-Y,1 Seasons
t0026,Movie,Silent War Season,,United States,2023-02-06,2018,R,119 min
t0027,Movie,Dark World,Anurag Kashyap,Brazil,2022-04-21,2023,R,96 min
t0028,Movie,The Mystery,,Italy,2023-01-21,2015,TV-14,179 min
t0029,Movie,Eternal Legend,Greta Gerwig,Nigeria,2015-05-24,2016,PG,92 min
t0030,TV Show,Hidden War,Zhang Yimou,Nigeria,2020-07-10,2022,PG-13,2 Seasons
t0031,TV Show,Wild Family Chronicles,Kathryn Bigelow,Egypt,2021-11-01,2017,NR,4 Seasons
t0032,Movie,Falling Secret,Céline Sciamma,United Kingdom,2021-01-13,1997,PG-13,75 min
t0033,TV Show,Last Journey Season,Wes Anderson,Egypt,2023-12-23,2000,TV-MA,7 Seasons
t0034,TV Show,A Water Chronicles,,Australia,2016-06-14,2008,PG,1 Seasons
t0035,TV Show,Ancient Story of Time,Sofia Coppola,,2016-05-17,2021,G,9 Seasons
t0036,Movie,Modern Water,,South Korea,2022-01-29,2020,TV-PG,138 min
t0037,Movie,Golden Water of Time,Greta Gerwig,South Korea,2018-07-14,2009,PG-13,184 min
t0038,Movie,Golden Secret,Martin Scorsese,Turkey,2022-11-27,2023,G,86 min
t0039,Movie,Golden Songs,Martin Scorsese,,2018-11-07,2016,TV-PG,134 min
t0040,Movie,Broken Detective Chronicles,Anurag Kashyap,South Korea,2016-04-15,2015,R,96 min
t0041,Movie,Sacred Love of Time,Martin Scorsese,India,2019-10-13,2004,R,135 min
t0042,Movie,Broken Shadow,Wes Anderson,Brazil,2017-03-10,2005,R,147 min
t0043,TV Show,Dark World Chronicles,Ridley Scott,Australia,2017-11-23,2019,TV-PG,5 Seasons
t0044,Movie,Lost Song: Reborn,Anurag Kashyap,,2023-02-07,2019,TV-Y,93 min
t0045,Movie,Secret Water,Denis Villeneuve,Brazil,2022-06-21,2016,TV-14,108 min
