view_id,title_id,month,views
1,t0001,2021-04,2001
2,t0001,2021-05,2519
3,t0001,2021-06,2154
4,t0001,2021-07,1727
5,t0001,2021-08,1535
6,t0001,2021-09,1581
7,t0001,2021-10,1433
8,t0001,2021-11,805
9,t0001,2021-12,694
10,t0001,2022-01,339
11,t0001,2022-02,430
12,t0001,2022-03,243
13,t0001,2022-04,386
14,t0001,2022-05,183
15,t0001,2022-06,418
16,t0001,2022-07,383
17,t0001,2022-08,208
18,t0001,2022-09,205
19,t0001,2022-10,180
20,t0001,2022-11,278
21,t0001,2022-12,337
22,t0001,2023-01,217
23,t0001,2023-02,286
24,t0001,2023-03,180
25,t0001,2023-04,271
26,t0001,2023-05,227
27,t0001,2023-06,274
28,t0001,2023-07,355
29,t0001,2023-08,330
30,t0001,2023-09,353
31,t0001,2023-10,232
32,t0001,2023-11,352
33,t0001,2023-12,234
34,t0001,2024-01,265
35,t0001,2024-02,238
36,t0001,2024-03,323
37,t0001,2024-04,280
38,t0001,2024-05,184
39,t0001,2024-06,207
40,t0002,2016-01,10173
41,t0002,2016-02,8734
42,t0002,2016-03,9329
43,t0002,2016-04,6693
44,t0002,2016-05,4941
45,t0002,2016-06,3795
46,t0002,2016-07,5199
47,t0002,2016-08,2710
48,t0002,2016-09,4417
49,t0002,2016-10,2110
50,t0002,2016-11,2551
51,t0002,2016-12,1278
52,t0002,2017-01,1601
53,t0002,2017-02,2009
54,t0002,2017-03,1345
55,t0002,2017-04,975
56,t0002,2017-05,1664
57,t0002,2017-06,1167
58,t0002,2017-07,1939
59,t0002,2017-08,1877
60,t0002,2017-09,1283
61,t0002,2017-10,1930
62,t0002,2017-11,1628
63,t0002,2017-12,1980
64,t0002,2018-01,1329
65,t0002,2018-02,1292
66,t0002,2018-03,1403
67,t0002,2018-04,1223
68,t0002,2018-05,1128
69,t0002,2018-06,1510
70,t0002,2018-07,1032
71,t0002,2018-08,1046
72,t0002,2018-09,1304
73,t0002,2018-10,1716
74,t0002,2018-11,1454
75,t0002,2018-12,1348
76,t0002,2019-01,1224
77,t0002,2019-02,2058
78,t0002,2019-03,1689
79,t0002,2019-04,1999
80,t0002,2019-05,1750
81,t0002,2019-06,2042
82,t0002,2019-07,1414
83,t0002,2019-08,1529
84,t0002,2019-09,1216
85,t0002,2019-10,1326
86,t0002,2019-11,1412
87,t0002,2019-12,2084
88,t0002,2020-01,1779
89,t0002,2020-02,1186
90,t0002,2020-03,1151
91,t0002,2020-04,1813
92,t0002,2020-05,1281
93,t0002,2020-06,1993
94,t0002,2020-07,926
95,t0002,2020-08,1773
96,t0002,2020-09,1206
97,t0002,2020-10,2051
98,t0002,2020-11,1916
99,t0002,2020-12,1485
100,t0002,2021-01,959
101,t0002,2021-02,1431
102,t0002,2021-03,1724
103,t0002,2021-04,914
104,t0002,2021-05,946
105,t0002,2021-06,2081
106,t0002,2021-07,1961
107,t0002,2021-08,1136
108,t0002,2021-09,1992
109,t0002,2021-10,2090
110,t0002,2021-11,1013
111,t0002,2021-12,1331
112,t0002,2022-01,1566
113,t0002,2022-02,1240
114,t0002,2022-03,1856
115,t0002,2022-04,2011
116,t0002,2022-05,2073
117,t0002,2022-06,1208
118,t0002,2022-07,1785
119,t0002,2022-08,1088
120,t0002,2022-09,925
121,t0002,2022-10,1951
122,t0002,2022-11,1064
123,t0002,2022-12,1932
124,t0002,2023-01,2054
125,t0002,2023-02,1588
126,t0002,2023-03,1907
127,t0002,2023-04,1257
128,t0002,2023-05,1759
129,t0002,2023-06,1523
130,t0002,2023-07,1319
131,t0002,2023-08,1012
132,t0002,2023-09,1412
133,t0002,2023-10,1283
134,t0002,2023-11,1780
135,t0002,2023-12,968
136,t0002,2024-01,1671
137,t0002,2024-02,1931
138,t0002,2024-03,2009
139,t0002,2024-04,1247
140,t0002,2024-05,1795
141,t0002,2024-06,2004
142,t0003,2017-09,520
143,t0003,2017-10,370
144,t0003,2017-11,364
145,t0003,2017-12,438
146,t0003,2018-01,398
147,t0003,2018-02,193
148,t0003,2018-03,295
149,t0003,2018-04,271
150,t0003,2018-05,224
151,t0003,2018-06,151
152,t0003,2018-07,80
153,t0003,2018-08,65
154,t0003,2018-09,57
155,t0003,2018-10,49
156,t0003,2018-11,69
157,t0003,2018-12,65
158,t0003,2019-01,54
159,t0003,2019-02,90
160,t0003,2019-03,46
161,t0003,2019-04,79
162,t0003,2019-05,52
163,t0003,2019-06,81
164,t0003,2019-07,91
165,t0003,2019-08,57
166,t0003,2019-09,57
167,t0003,2019-10,48
168,t0003,2019-11,68
169,t0003,2019-12,92
170,t0003,2020-01,80
171,t0003,2020-02,91
172,t0003,2020-03,46
173,t0003,2020-04,53
174,t0003,2020-05,89
175,t0003,2020-06,80
176,t0003,2020-07,76
177,t0003,2020-08,68
178,t0003,2020-09,58
179,t0003,2020-10,54
180,t0003,2020-11,62
181,t0003,2020-12,65
182,t0003,2021-01,95
183,t0003,2021-02,71
184,t0003,2021-03,49
185,t0003,2021-04,81
186,t0003,2021-05,61
187,t0003,2021-06,49
188,t0003,2021-07,67
189,t0003,2021-08,98
190,t0003,2021-09,77
191,t0003,2021-10,76
192,t0003,2021-11,55
193,t0003,2021-12,90
194,t0003,2022-01,70
195,t0003,2022-02,92
196,t0003,2022-03,50
197,t0003,2022-04,72
198,t0003,2022-05,78
199,t0003,2022-06,91
200,t0003,2022-07,98
201,t0003,2022-08,75
202,t0003,2022-09,72
203,t0003,2022-10,60
204,t0003,2022-11,80
205,t0003,2022-12,99
206,t0003,2023-01,70
207,t0003,2023-02,81
208,t0003,2023-03,76
209,t0003,2023-04,51
210,t0003,2023-05,67
211,t0003,2023-06,75
212,t0003,2023-07,70
213,t0003,2023-08,54
214,t0003,2023-09,103
215,t0003,2023-10,85
216,t0003,2023-11,74
217,t0003,2023-12,86
218,t0003,2024-01,66
219,t0003,2024-02,99
220,t0003,2024-03,52
221,t0003,2024-04,103
222,t0003,2024-05,82
223,t0003,2024-06,100
224,t0004,2022-05,1435
225,t0004,2022-06,2560
226,t0004,2022-07,2182
227,t0004,2022-08,2086
228,t0004,2022-09,1119
229,t0004,2022-10,792
230,t0004,2022-11,1329
231,t0004,2022-12,674
232,t0004,2023-01,625
233,t0004,2023-02,781
234,t0004,2023-03,318
235,t0004,2023-04,221
236,t0004,2023-05,189
237,t0004,2023-06,399
238,t0004,2023-07,230
239,t0004,2023-08,358
240,t0004,2023-09,200
241,t0004,2023-10,369
242,t0004,2023-11,326
243,t0004,2023-12,260
244,t0004,2024-01,409
245,t0004,2024-02,202
246,t0004,2024-03,185
247,t0004,2024-04,227
248,t0004,2024-05,198
249,t0004,2024-06,360
250,t0005,2018-04,9491
251,t0005,2018-05,8644
252,t0005,2018-06,9286
253,t0005,2018-07,6857
254,t0005,2018-08,9130
255,t0005,2018-09,3645
256,t0005,2018-10,4217
257,t0005,2018-11,4141
258,t0005,2018-12,3592
259,t0005,2019-01,2857
260,t0005,2019-02,2688
261,t0005,2019-03,1515
262,t0005,2019-04,1808
263,t0005,2019-05,1024
264,t0005,2019-06,1174
265,t0005,2019-07,1552
266,t0005,2019-08,1939
267,t0005,2019-09,1649
268,t0005,2019-10,1709
269,t0005,2019-11,1927
270,t0005,2019-12,1722
271,t0005,2020-01,1589
272,t0005,2020-02,1367
273,t0005,2020-03,1811
274,t0005,2020-04,1677
275,t0005,2020-05,1120
276,t0005,2020-06,1807
277,t0005,2020-07,1938
278,t0005,2020-08,2043
279,t0005,2020-09,1658
280,t0005,2020-10,972
281,t0005,2020-11,1733
282,t0005,2020-12,1649
283,t0005,2021-01,1308
284,t0005,2021-02,2001
285,t0005,2021-03,1492
286,t0005,2021-04,1221
287,t0005,2021-05,1529
288,t0005,2021-06,1308
289,t0005,2021-07,1970
290,t0005,2021-08,1700
291,t0005,2021-09,1766
292,t0005,2021-10,1057
293,t0005,2021-11,1866
294,t0005,2021-12,1262
295,t0005,2022-01,1048
296,t0005,2022-02,1596
297,t0005,2022-03,1301
298,t0005,2022-04,1629
299,t0005,2022-05,902
300,t0005,2022-06,1903
301,t0005,2022-07,1341
302,t0005,2022-08,1729
303,t0005,2022-09,1662
304,t0005,2022-10,1665
305,t0005,2022-11,973
306,t0005,2022-12,2077
307,t0005,2023-01,1385
308,t0005,2023-02,1916
309,t0005,2023-03,1138
310,t0005,2023-04,984
311,t0005,2023-05,1565
312,t0005,2023-06,1837
313,t0005,2023-07,979
314,t0005,2023-08,1813
315,t0005,2023-09,1784
